,,,-3.59999990E-6,2.0000001E-3,,,,,-3.59999990E-6,4.00000019E-3,,,,,-3.59999990E-6,0.0,,,,,-3.59999990E-6,0.0,,,,,-3.59999990E-6,0.0,
,,,-3.57999988E-6,-2.0000001E-3,,,,,-3.57999988E-6,0.0,,,,,-3.57999988E-6,0.0,,,,,-3.57999988E-6,200.00000298E-3,,,,,-3.57999988E-6,-400.00000596E-3,
,,,-3.56000010E-6,0.0,,,,,-3.56000010E-6,-4.00000019E-3,,,,,-3.56000010E-6,0.0,,,,,-3.56000010E-6,0.0,,,,,-3.56000010E-6,0.0,
,,,-3.54000008E-6,2.0000001E-3,,,,,-3.54000008E-6,0.0,,,,,-3.54000008E-6,0.0,,,,,-3.54000008E-6,0.0,,,,,-3.54000008E-6,0.0,
,,,-3.52000006E-6,2.0000001E-3,,,,,-3.52000006E-6,0.0,,,,,-3.52000006E-6,400.00000596E-3,,,,,-3.52000006E-6,200.00000298E-3,,,,,-3.52000006E-6,0.0,
,,,-3.50000005E-6,0.0,,,,,-3.50000005E-6,0.0,,,,,-3.50000005E-6,0.0,,,,,-3.50000005E-6,0.0,,,,,-3.50000005E-6,0.0,
,,,-3.48000003E-6,2.0000001E-3,,,,,-3.48000003E-6,-4.00000019E-3,,,,,-3.48000003E-6,200.00000298E-3,,,,,-3.48000003E-6,-200.00000298E-3,,,,,-3.48000003E-6,400.00000596E-3,
,,,-3.46000002E-6,2.0000001E-3,,,,,-3.46000002E-6,0.0,,,,,-3.46000002E-6,0.0,,,,,-3.46000002E-6,0.0,,,,,-3.46000002E-6,0.0,
,,,-3.44000000E-6,2.0000001E-3,,,,,-3.44000000E-6,8.000000380E-3,,,,,-3.44000000E-6,0.0,,,,,-3.44000000E-6,200.00000298E-3,,,,,-3.44000000E-6,-400.00000596E-3,
,,,-3.41999998E-6,4.00000019E-3,,,,,-3.41999998E-6,4.00000019E-3,,,,,-3.41999998E-6,0.0,,,,,-3.41999998E-6,0.0,,,,,-3.41999998E-6,0.0,
,,,-3.39999997E-6,2.0000001E-3,,,,,-3.39999997E-6,0.0,,,,,-3.39999997E-6,0.0,,,,,-3.39999997E-6,-200.00000298E-3,,,,,-3.39999997E-6,0.0,
,,,-3.37999995E-6,-2.0000001E-3,,,,,-3.37999995E-6,0.0,,,,,-3.37999995E-6,-200.00000298E-3,,,,,-3.37999995E-6,0.0,,,,,-3.37999995E-6,-400.00000596E-3,
,,,-3.35999994E-6,4.00000019E-3,,,,,-3.35999994E-6,0.0,,,,,-3.35999994E-6,0.0,,,,,-3.35999994E-6,0.0,,,,,-3.35999994E-6,0.0,
,,,-3.33999992E-6,0.0,,,,,-3.33999992E-6,4.00000019E-3,,,,,-3.33999992E-6,200.00000298E-3,,,,,-3.33999992E-6,0.0,,,,,-3.33999992E-6,0.0,
,,,-3.31999991E-6,2.0000001E-3,,,,,-3.31999991E-6,0.0,,,,,-3.31999991E-6,-200.00000298E-3,,,,,-3.31999991E-6,0.0,,,,,-3.31999991E-6,-400.00000596E-3,
,,,-3.29999989E-6,0.0,,,,,-3.29999989E-6,0.0,,,,,-3.29999989E-6,0.0,,,,,-3.29999989E-6,0.0,,,,,-3.29999989E-6,0.0,
