Record Length,2500,Points,-1.9600000E-6,-2.0000001E-3,,Record Length,2500,Points,-1.9600000E-6,4.00000019E-3,
Sample Interval,3.99999989E-9,s,-1.9560000E-6,-6.00000005E-3,,Sample Interval,3.99999989E-9,s,-1.9560000E-6,2.0000001E-3,
Trigger Point,490.000004663,Samples,-1.9520000E-6,-4.00000019E-3,,Trigger Point,490.000004663,Samples,-1.9520000E-6,4.00000019E-3,
,,,-1.9479999E-6,-2.0000001E-3,,,,,-1.9479999E-6,4.00000019E-3,
,,,-1.9439999E-6,-2.0000001E-3,,,,,-1.9439999E-6,4.00000019E-3,
,,,-1.9399999E-6,-4.00000019E-3,,,,,-1.9399999E-6,4.00000019E-3,
Source,CH1,,-1.9360000E-6,-4.00000019E-3,,Source,CH2,,-1.9360000E-6,4.00000019E-3,
Vertical Units,Volts,,-1.9320000E-6,-4.00000019E-3,,Vertical Units,Volts,,-1.9320000E-6,4.00000019E-3,
Vertical Scale,50.00000237E-3,,-1.9280001E-6,-2.0000001E-3,,Vertical Scale,50.00000237E-3,,-1.9280001E-6,2.0000001E-3,
Vertical Offset,0,,-1.9239999E-6,-4.00000019E-3,,Vertical Offset,0,,-1.9239999E-6,2.0000001E-3,
Horizontal Units,s,,-1.9199999E-6,-2.0000001E-3,,Horizontal Units,s,,-1.9199999E-6,4.00000019E-3,
Horizontal Scale,999.999971718E-9,,-1.9160000E-6,-4.00000019E-3,,Horizontal Scale,999.999971718E-9,,-1.9160000E-6,4.00000019E-3,
Pt Fmt,Y,,-1.9120000E-6,-4.00000019E-3,,Pt Fmt,Y,,-1.9120000E-6,0.0,
Yzero,1.4800000,,-1.9080001E-6,-4.00000019E-3,,Yzero,-2.3600000,,-1.9080001E-6,4.00000019E-3,
Probe Atten,1.000000,,-1.9040000E-6,-6.00000005E-3,,Probe Atten,1.000000,,-1.9040000E-6,2.0000001E-3,
,,,-1.8999999E-6,-2.0000001E-3,,,,,-1.8999999E-6,4.00000019E-3,
Note,TBS 1104 - 2:31:13 PM   2/3/2026,,-1.8960000E-6,-4.00000019E-3,,Note,TBS 1104 - 2:31:13 PM   2/3/2026,,-1.8960000E-6,6.00000005E-3,
,,,-1.8920000E-6,-2.0000001E-3,,,,,-1.8920000E-6,4.00000019E-3,
,,,-1.8879999E-6,-4.00000019E-3,,,,,-1.8879999E-6,0.0,
,,,-1.8840000E-6,-2.0000001E-3,,,,,-1.8840000E-6,4.00000019E-3,
,,,-1.8800000E-6,-6.00000005E-3,,,,,-1.8800000E-6,4.00000019E-3,
,,,-1.8759999E-6,0.0,,,,,-1.8759999E-6,2.0000001E-3,
,,,-1.8720000E-6,-4.00000019E-3,,,,,-1.8720000E-6,2.0000001E-3,
,,,-1.8679999E-6,-4.00000019E-3,,,,,-1.8679999E-6,2.0000001E-3,
,,,-1.8640000E-6,-2.0000001E-3,,,,,-1.8640000E-6,8.000000380E-3,
,,,-1.8600000E-6,-2.0000001E-3,,,,,-1.8600000E-6,4.00000019E-3,
,,,-1.8559999E-6,-4.00000019E-3,,,,,-1.8559999E-6,4.00000019E-3,
,,,-1.8520000E-6,2.0000001E-3,,,,,-1.8520000E-6,4.00000019E-3,
,,,-1.8480000E-6,-4.00000019E-3,,,,,-1.8480000E-6,6.00000005E-3,
,,,-1.8439999E-6,-2.0000001E-3,,,,,-1.8439999E-6,2.0000001E-3,
,,,-1.8400000E-6,-6.00000005E-3,,,,,-1.8400000E-6,2.0000001E-3,
,,,-1.8359999E-6,-2.0000001E-3,,,,,-1.8359999E-6,6.00000005E-3,
,,,-1.8320000E-6,0.0,,,,,-1.8320000E-6,8.000000380E-3,
,,,-1.8280000E-6,-4.00000019E-3,,,,,-1.8280000E-6,2.0000001E-3,
,,,-1.8239999E-6,-4.00000019E-3,,,,,-1.8239999E-6,2.0000001E-3,
,,,-1.8200000E-6,-2.0000001E-3,,,,,-1.8200000E-6,4.00000019E-3,
,,,-1.8160000E-6,-4.00000019E-3,,,,,-1.8160000E-6,8.000000380E-3,
,,,-1.8119999E-6,-8.000000380E-3,,,,,-1.8119999E-6,0.0,
,,,-1.8080000E-6,0.0,,,,,-1.8080000E-6,6.00000005E-3,
,,,-1.8040000E-6,-4.00000019E-3,,,,,-1.8040000E-6,2.0000001E-3,
,,,-1.7999999E-6,-2.0000001E-3,,,,,-1.7999999E-6,8.000000380E-3,
,,,-1.7960000E-6,-6.00000005E-3,,,,,-1.7960000E-6,0.0,
,,,-1.7919999E-6,2.0000001E-3,,,,,-1.7919999E-6,4.00000019E-3,
,,,-1.7880000E-6,-8.000000380E-3,,,,,-1.7880000E-6,-2.0000001E-3,
,,,-1.7840000E-6,2.0000001E-3,,,,,-1.7840000E-6,4.00000019E-3,
,,,-1.7799999E-6,-6.00000005E-3,,,,,-1.7799999E-6,4.00000019E-3,
,,,-1.7760000E-6,0.0,,,,,-1.7760000E-6,4.00000019E-3,
,,,-1.7720000E-6,-4.00000019E-3,,,,,-1.7720000E-6,2.0000001E-3,
,,,-1.7679999E-6,0.0,,,,,-1.7679999E-6,4.00000019E-3,
,,,-1.7640000E-6,-4.00000019E-3,,,,,-1.7640000E-6,4.00000019E-3,
,,,-1.7599999E-6,0.0,,,,,-1.7599999E-6,2.0000001E-3,
,,,-1.7560000E-6,0.0,,,,,-1.7560000E-6,4.00000019E-3,
,,,-1.7520000E-6,-4.00000019E-3,,,,,-1.7520000E-6,0.0,
