Record Length,2500,Points,-335.99999938E-9,0.0,,Record Length,2500,Points,-335.99999938E-9,560.000002384E-3,,Record Length,2500,Points,-335.99999938E-9,10.4000006,
Sample Interval,400.00000370E-12,s,-335.59999224E-9,0.0,,Sample Interval,400.00000370E-12,s,-335.59999224E-9,560.000002384E-3,,Sample Interval,400.00000370E-12,s,-335.59999224E-9,10.4000006,
Trigger Point,839.999987232,Samples,-335.20001352E-9,39.99999911E-3,,Trigger Point,839.999987232,Samples,-335.20001352E-9,560.000002384E-3,,Trigger Point,839.999987232,Samples,-335.20001352E-9,10.4000006,
,,,-334.80000639E-9,39.99999911E-3,,,,,-334.80000639E-9,560.000002384E-3,,,,,-334.80000639E-9,10.4000006,
,,,-334.39999925E-9,39.99999911E-3,,,,,-334.39999925E-9,560.000002384E-3,,,,,-334.39999925E-9,10.4000006,
,,,-333.99999211E-9,0.0,,,,,-333.99999211E-9,560.000002384E-3,,,,,-333.99999211E-9,10.8000002,
Source,CH1,,-333.60001339E-9,0.0,,Source,CH2,,-333.60001339E-9,560.000002384E-3,,Source,MATH,,-333.60001339E-9,10.8000002,
Vertical Units,Volts,,-333.20000625E-9,0.0,,Vertical Units,Volts,,-333.20000625E-9,560.000002384E-3,,Vertical Units,Volts,,-333.20000625E-9,10.8000002,
Vertical Scale,999.999977648E-3,,-332.79999911E-9,0.0,,Vertical Scale,999.999977648E-3,,-332.79999911E-9,560.000002384E-3,,Vertical Scale,10.0000001,,-332.79999911E-9,10.8000002,
Vertical Offset,0,,-332.39999198E-9,0.0,,Vertical Offset,0,,-332.39999198E-9,560.000002384E-3,,Vertical Offset,0,,-332.39999198E-9,10.8000002,
Horizontal Units,s,,-332.00001326E-9,0.0,,Horizontal Units,s,,-332.00001326E-9,560.000002384E-3,,Horizontal Units,s,,-332.00001326E-9,10.8000002,
Horizontal Scale,100.0000013E-9,,-331.60000612E-9,0.0,,Horizontal Scale,100.0000013E-9,,-331.60000612E-9,560.000002384E-3,,Horizontal Scale,100.0000013E-9,,-331.60000612E-9,10.8000002,
Pt Fmt,Y,,-331.19999898E-9,0.0,,Pt Fmt,Y,,-331.19999898E-9,599.999964237E-3,,Pt Fmt,Y,,-331.19999898E-9,10.8000002,
Yzero,-1.7200000,,-330.79999184E-9,0.0,,Yzero,-640.000000000E-3,,-330.79999184E-9,599.999964237E-3,,Yzero,0.0,,-330.79999184E-9,10.8000002,
Probe Atten,1.000000,,-330.40001313E-9,0.0,,Probe Atten,1.000000,,-330.40001313E-9,599.999964237E-3,,,,,-330.40001313E-9,10.8000002,
,,,-330.00000599E-9,-39.99999911E-3,,,,,-330.00000599E-9,560.000002384E-3,,,,,-330.00000599E-9,10.8000002,
Note,TBS 1104 - 3:10:32 PM   2/3/2026,,-329.59999885E-9,-39.99999911E-3,,Note,TBS 1104 - 3:10:32 PM   2/3/2026,,-329.59999885E-9,560.000002384E-3,,Note,TBS 1104 - 3:10:32 PM   2/3/2026,,-329.59999885E-9,10.8000002,
,,,-329.19999171E-9,-39.99999911E-3,,,,,-329.19999171E-9,560.000002384E-3,,,,,-329.19999171E-9,10.8000002,
,,,-328.80001299E-9,-39.99999911E-3,,,,,-328.80001299E-9,560.000002384E-3,,,,,-328.80001299E-9,10.8000002,
,,,-328.40000586E-9,-39.99999911E-3,,,,,-328.40000586E-9,560.000002384E-3,,,,,-328.40000586E-9,10.8000002,
,,,-327.99999872E-9,-39.99999911E-3,,,,,-327.99999872E-9,560.000002384E-3,,,,,-327.99999872E-9,10.8000002,
,,,-327.59999158E-9,-39.99999911E-3,,,,,-327.59999158E-9,560.000002384E-3,,,,,-327.59999158E-9,10.8000002,
,,,-327.20001286E-9,-39.99999911E-3,,,,,-327.20001286E-9,519.999980927E-3,,,,,-327.20001286E-9,10.8000002,
,,,-326.80000572E-9,-39.99999911E-3,,,,,-326.80000572E-9,519.999980927E-3,,,,,-326.80000572E-9,10.8000002,
,,,-326.39999858E-9,0.0,,,,,-326.39999858E-9,519.999980927E-3,,,,,-326.39999858E-9,10.8000002,
,,,-325.99999145E-9,0.0,,,,,-325.99999145E-9,519.999980927E-3,,,,,-325.99999145E-9,11.1999998,
,,,-325.60001273E-9,0.0,,,,,-325.60001273E-9,519.999980927E-3,,,,,-325.60001273E-9,11.1999998,
,,,-325.20000559E-9,0.0,,,,,-325.20000559E-9,519.999980927E-3,,,,,-325.20000559E-9,11.1999998,
,,,-324.79999845E-9,0.0,,,,,-324.79999845E-9,519.999980927E-3,,,,,-324.79999845E-9,11.1999998,
,,,-324.39999131E-9,0.0,,,,,-324.39999131E-9,519.999980927E-3,,,,,-324.39999131E-9,11.1999998,
,,,-324.00001260E-9,0.0,,,,,-324.00001260E-9,519.999980927E-3,,,,,-324.00001260E-9,11.1999998,
,,,-323.60000546E-9,0.0,,,,,-323.60000546E-9,519.999980927E-3,,,,,-323.60000546E-9,11.1999998,
,,,-323.19999832E-9,0.0,,,,,-323.19999832E-9,519.999980927E-3,,,,,-323.19999832E-9,11.1999998,
,,,-322.79999118E-9,0.0,,,,,-322.79999118E-9,519.999980927E-3,,,,,-322.79999118E-9,11.1999998,
,,,-322.40001246E-9,0.0,,,,,-322.40001246E-9,519.999980927E-3,,,,,-322.40001246E-9,11.1999998,
,,,-322.00000533E-9,-39.99999911E-3,,,,,-322.00000533E-9,519.999980927E-3,,,,,-322.00000533E-9,11.1999998,
,,,-321.59999819E-9,-39.99999911E-3,,,,,-321.59999819E-9,519.999980927E-3,,,,,-321.59999819E-9,11.1999998,
,,,-321.19999105E-9,-39.99999911E-3,,,,,-321.19999105E-9,560.000002384E-3,,,,,-321.19999105E-9,11.1999998,
,,,-320.80001233E-9,0.0,,,,,-320.80001233E-9,560.000002384E-3,,,,,-320.80001233E-9,11.1999998,
,,,-320.40000519E-9,39.99999911E-3,,,,,-320.40000519E-9,599.999964237E-3,,,,,-320.40000519E-9,11.1999998,
,,,-319.99999806E-9,39.99999911E-3,,,,,-319.99999806E-9,599.999964237E-3,,,,,-319.99999806E-9,11.1999998,
,,,-319.59999092E-9,79.999998212E-3,,,,,-319.59999092E-9,599.999964237E-3,,,,,-319.59999092E-9,11.1999998,
,,,-319.20001220E-9,39.99999911E-3,,,,,-319.20001220E-9,560.000002384E-3,,,,,-319.20001220E-9,11.1999998,
,,,-318.80000506E-9,39.99999911E-3,,,,,-318.80000506E-9,519.999980927E-3,,,,,-318.80000506E-9,11.1999998,
,,,-318.39999792E-9,39.99999911E-3,,,,,-318.39999792E-9,519.999980927E-3,,,,,-318.39999792E-9,11.1999998,
,,,-317.99999078E-9,0.0,,,,,-317.99999078E-9,479.999989271E-3,,,,,-317.99999078E-9,11.1999998,
,,,-317.60001207E-9,39.99999911E-3,,,,,-317.60001207E-9,479.999989271E-3,,,,,-317.60001207E-9,11.1999998,
,,,-317.20000493E-9,39.99999911E-3,,,,,-317.20000493E-9,479.999989271E-3,,,,,-317.20000493E-9,11.1999998,
,,,-316.79999779E-9,39.99999911E-3,,,,,-316.79999779E-9,519.999980927E-3,,,,,-316.79999779E-9,11.6000004,
,,,-316.39999065E-9,79.999998212E-3,,,,,-316.39999065E-9,560.000002384E-3,,,,,-316.39999065E-9,11.1999998,
,,,-316.00001194E-9,79.999998212E-3,,,,,-316.00001194E-9,560.000002384E-3,,,,,-316.00001194E-9,11.6000004,
,,,-315.60000480E-9,79.999998212E-3,,,,,-315.60000480E-9,560.000002384E-3,,,,,-315.60000480E-9,11.6000004,
,,,-315.19999766E-9,79.999998212E-3,,,,,-315.19999766E-9,560.000002384E-3,,,,,-315.19999766E-9,11.6000004,
,,,-314.79999052E-9,79.999998212E-3,,,,,-314.79999052E-9,560.000002384E-3,,,,,-314.79999052E-9,11.1999998,
,,,-314.40001180E-9,119.9999973E-3,,,,,-314.40001180E-9,560.000002384E-3,,,,,-314.40001180E-9,11.1999998,
,,,-314.00000466E-9,119.9999973E-3,,,,,-314.00000466E-9,560.000002384E-3,,,,,-314.00000466E-9,11.1999998,
,,,-313.59999753E-9,119.9999973E-3,,,,,-313.59999753E-9,560.000002384E-3,,,,,-313.59999753E-9,11.1999998,
,,,-313.19999039E-9,79.999998212E-3,,,,,-313.19999039E-9,560.000002384E-3,,,,,-313.19999039E-9,11.1999998,
,,,-312.80001167E-9,79.999998212E-3,,,,,-312.80001167E-9,560.000002384E-3,,,,,-312.80001167E-9,11.6000004,
