Record Length,2500,Points,3.99999989E-9,280.00000119E-3,,Record Length,2500,Points,3.99999989E-9,-159.99999642E-3,
Sample Interval,400.00000370E-12,s,4.39999992E-9,239.99999464E-3,,Sample Interval,400.00000370E-12,s,4.39999992E-9,-159.99999642E-3,
Trigger Point,-9.999999584,Samples,4.79999995E-9,239.99999464E-3,,Trigger Point,-9.999999584,Samples,4.79999995E-9,-159.99999642E-3,
,,,5.19999999E-9,239.99999464E-3,,,,,5.19999999E-9,-159.99999642E-3,
,,,5.60000002E-9,239.99999464E-3,,,,,5.60000002E-9,-159.99999642E-3,
,,,6.00000005E-9,239.99999464E-3,,,,,6.00000005E-9,-159.99999642E-3,
Source,CH1,,6.40000009E-9,239.99999464E-3,,Source,CH2,,6.40000009E-9,-159.99999642E-3,
Vertical Units,Volts,,6.80000012E-9,239.99999464E-3,,Vertical Units,Volts,,6.80000012E-9,-159.99999642E-3,
Vertical Scale,999.999977648E-3,,7.19999971E-9,239.99999464E-3,,Vertical Scale,999.999977648E-3,,7.19999971E-9,-159.99999642E-3,
Vertical Offset,0,,7.599999741E-9,239.99999464E-3,,Vertical Offset,0,,7.599999741E-9,-159.99999642E-3,
Horizontal Units,s,,7.999999774E-9,239.99999464E-3,,Horizontal Units,s,,7.999999774E-9,-159.99999642E-3,
Horizontal Scale,100.0000013E-9,,8.399999807E-9,280.00000119E-3,,Horizontal Scale,100.0000013E-9,,8.399999807E-9,-159.99999642E-3,
Pt Fmt,Y,,8.799999840E-9,280.00000119E-3,,Pt Fmt,Y,,8.799999840E-9,-159.99999642E-3,
Yzero,1.0400000,,9.199999873E-9,280.00000119E-3,,Yzero,-1.5600000,,9.199999873E-9,-159.99999642E-3,
Probe Atten,1.000000,,9.599999906E-9,280.00000119E-3,,Probe Atten,1.000000,,9.599999906E-9,-159.99999642E-3,
,,,9.999999939E-9,280.00000119E-3,,,,,9.999999939E-9,-159.99999642E-3,
Note,TBS 1104 - 2:52:29 PM   2/3/2026,,10.4000000E-9,239.99999464E-3,,Note,TBS 1104 - 2:52:29 PM   2/3/2026,,10.4000000E-9,-119.9999973E-3,
,,,10.8000000E-9,239.99999464E-3,,,,,10.8000000E-9,-159.99999642E-3,
,,,11.2000000E-9,239.99999464E-3,,,,,11.2000000E-9,-159.99999642E-3,
,,,11.6000001E-9,239.99999464E-3,,,,,11.6000001E-9,-199.99998808E-3,
,,,12.0000001E-9,239.99999464E-3,,,,,12.0000001E-9,-199.99998808E-3,
,,,12.4000001E-9,280.00000119E-3,,,,,12.4000001E-9,-199.99998808E-3,
,,,12.8000002E-9,280.00000119E-3,,,,,12.8000002E-9,-199.99998808E-3,
,,,13.2000002E-9,319.99999285E-3,,,,,13.2000002E-9,-199.99998808E-3,
,,,13.6000002E-9,280.00000119E-3,,,,,13.6000002E-9,-199.99998808E-3,
,,,14.0000003E-9,280.00000119E-3,,,,,14.0000003E-9,-199.99998808E-3,
,,,14.4000003E-9,280.00000119E-3,,,,,14.4000003E-9,-199.99998808E-3,
,,,14.8000003E-9,280.00000119E-3,,,,,14.8000003E-9,-199.99998808E-3,
,,,15.1999995E-9,319.99999285E-3,,,,,15.1999995E-9,-199.99998808E-3,
,,,15.5999995E-9,319.99999285E-3,,,,,15.5999995E-9,-199.99998808E-3,
