Time,Voltage,fs
-1.519999849271999e-06,0.0,250002498.4999831
-1.5159998892475993e-06,0.0,250002498.4999831
-1.511999849223199e-06,0.0,250002498.4999831
-1.5079998891987994e-06,0.0,250002498.4999831
-1.5039998391743989e-06,0.0,250002498.4999831
-1.499999879149999e-06,0.0,250002498.4999831
-1.4959999191255995e-06,0.0,250002498.4999831
-1.4919998691011992e-06,0.0,250002498.4999831
-1.4879999190767994e-06,0.0,250002498.4999831
-1.483999869052399e-06,-0.03999999999605,250002498.4999831
-1.4799999090279993e-06,0.0,250002498.4999831
-1.4759998590035992e-06,0.0,250002498.4999831
-1.4719998989791994e-06,0.0,250002498.4999831
-1.4679998589547991e-06,0.0,250002498.4999831
-1.4639998989303993e-06,0.0,250002498.4999831
-1.459999848905999e-06,-0.03999999999605,250002498.4999831
-1.4559998888815992e-06,0.0,250002498.4999831
-1.451999838857199e-06,0.0,250002498.4999831
-1.4479998888327992e-06,0.0,250002498.4999831
-1.4439999288083994e-06,-0.03999999999605,250002498.4999831
-1.4399998787839993e-06,0.0,250002498.4999831
-1.4359999187595995e-06,0.0,250002498.4999831
-1.4319998687351991e-06,0.0,250002498.4999831
-1.4279999087107994e-06,0.0,250002498.4999831
-1.423999868686399e-06,0.0,250002498.4999831
-1.4199999086619995e-06,0.0,250002498.4999831
-1.415999858637599e-06,-0.03999999999605,250002498.4999831
-1.4119998986131992e-06,0.0,250002498.4999831
-1.407999848588799e-06,0.0,250002498.4999831
-1.4039998985643993e-06,0.0,250002498.4999831
-1.3999998485399992e-06,-0.03999999999605,250002498.4999831
-1.3959998885155992e-06,0.0,250002498.4999831
-1.3919998384911989e-06,0.0,250002498.4999831
-1.3879998784667993e-06,0.0,250002498.4999831
-1.3839999284423995e-06,-0.03999999999605,250002498.4999831
-1.3799998784179992e-06,0.0,250002498.4999831
-1.3759999183935994e-06,0.0,250002498.4999831
-1.3719998683691991e-06,0.0,250002498.4999831
-1.3679999083447993e-06,0.0,250002498.4999831
-1.3639998583203992e-06,0.0,250002498.4999831
-1.3599999082959995e-06,-0.03999999999605,250002498.4999831
-1.3559998582715991e-06,0.0,250002498.4999831
-1.3519998982471993e-06,0.0,250002498.4999831
-1.347999848222799e-06,0.0,250002498.4999831
-1.3439998881983995e-06,0.0,250002498.4999831
-1.339999848173999e-06,-0.03999999999605,250002498.4999831
-1.3359998881495992e-06,0.0,250002498.4999831
-1.3319999281251996e-06,0.0,250002498.4999831
-1.3279998781007993e-06,0.0,250002498.4999831
-1.3239999180763995e-06,0.0,250002498.4999831
-1.3199998680519992e-06,0.0,250002498.4999831
-1.3159999180275994e-06,0.0,250002498.4999831
-1.3119998680031993e-06,0.0,250002498.4999831
-1.3079999079787995e-06,-0.03999999999605,250002498.4999831
-1.303999857954399e-06,0.0,250002498.4999831
-1.2999998979299994e-06,0.0,250002498.4999831
-1.295999857905599e-06,0.0,250002498.4999831
-1.2919998978811993e-06,0.0,250002498.4999831
-1.287999847856799e-06,0.0,250002498.4999831
-1.2839998878323992e-06,0.0,250002498.4999831
-1.279999837807999e-06,0.0,250002498.4999831
-1.2759998877835993e-06,-0.03999999999605,250002498.4999831
-1.2719999277591996e-06,0.0,250002498.4999831
-1.2679998777347992e-06,0.0,250002498.4999831
-1.2639999177103994e-06,0.0,250002498.4999831
-1.2599998676859991e-06,0.0,250002498.4999831
-1.2559999076615995e-06,0.0,250002498.4999831
-1.251999867637199e-06,0.0,250002498.4999831
-1.2479999076127995e-06,0.0,250002498.4999831
-1.2439998575883991e-06,0.0,250002498.4999831
-1.2399998975639994e-06,0.0,250002498.4999831
-1.235999847539599e-06,0.0,250002498.4999831
-1.2319998975151993e-06,0.0,250002498.4999831
-1.227999847490799e-06,0.0,250002498.4999831
-1.2239998874663994e-06,0.0,250002498.4999831
-1.2199998374419988e-06,0.0,250002498.4999831
-1.2159998774175993e-06,0.0,250002498.4999831
-1.2119999273931995e-06,0.0,250002498.4999831
-1.2079998773687992e-06,0.0,250002498.4999831
-1.2039999173443994e-06,-0.03999999999605,250002498.4999831
-1.199999867319999e-06,0.0,250002498.4999831
-1.1959999072955993e-06,0.0,250002498.4999831
-1.1919998572711992e-06,0.0,250002498.4999831
-1.1879999072467994e-06,0.0,250002498.4999831
-1.1839998572223991e-06,-0.03999999999605,250002498.4999831
-1.1799998971979993e-06,0.0,250002498.4999831
-1.175999847173599e-06,-0.03999999999605,250002498.4999831
-1.1719998871491992e-06,0.0,250002498.4999831
-1.167999847124799e-06,0.0,250002498.4999831
-1.1639998871003991e-06,0.0,250002498.4999831
-1.1599999270759996e-06,0.0,250002498.4999831
-1.1559998770515992e-06,0.0,250002498.4999831
-1.1519999170271995e-06,0.0,250002498.4999831
-1.1479998670027991e-06,0.0,250002498.4999831
-1.1439999169783994e-06,0.0,250002498.4999831
-1.1399998669539993e-06,0.0,250002498.4999831
-1.1359999069295995e-06,0.0,250002498.4999831
-1.131999856905199e-06,0.0,250002498.4999831
-1.1279998968807994e-06,-0.03999999999605,250002498.4999831
-1.123999856856399e-06,0.0,250002498.4999831
-1.1199998968319993e-06,0.0,250002498.4999831
-1.115999846807599e-06,0.0,250002498.4999831
-1.1119998867831992e-06,0.0,250002498.4999831
-1.107999836758799e-06,0.0,250002498.4999831
-1.1039998867343993e-06,0.0,250002498.4999831
-1.0999999267099995e-06,0.0,250002498.4999831
-1.0959998766855992e-06,0.0,250002498.4999831
-1.0919999166611994e-06,0.0,250002498.4999831
-1.087999866636799e-06,0.0,250002498.4999831
-1.0839999066123993e-06,0.0,250002498.4999831
-1.0799998665879992e-06,0.0,250002498.4999831
-1.0759999065635992e-06,0.0,250002498.4999831
-1.0719998565391991e-06,0.0,250002498.4999831
-1.0679998965147993e-06,0.0,250002498.4999831
-1.063999846490399e-06,0.0,250002498.4999831
-1.0599998964659995e-06,0.0,250002498.4999831
-1.055999846441599e-06,0.0,250002498.4999831
-1.0519998864171994e-06,0.0,250002498.4999831
-1.047999836392799e-06,0.0,250002498.4999831
-1.0439998763683993e-06,0.0,250002498.4999831
-1.0399999263439995e-06,0.0,250002498.4999831
-1.0359998763195992e-06,0.0,250002498.4999831
-1.0319999162951994e-06,0.0,250002498.4999831
-1.0279998662707993e-06,0.0,250002498.4999831
-1.0239999062463995e-06,0.0,250002498.4999831
-1.0199998562219992e-06,0.0,250002498.4999831
-1.0159999061975994e-06,0.0,250002498.4999831
-1.011999856173199e-06,0.0,250002498.4999831
-1.0079998961487995e-06,0.0,250002498.4999831
-1.003999846124399e-06,0.0,250002498.4999831
-9.999998898999993e-07,0.0,250002498.4999831
-9.95999841175599e-07,0.0,250002498.4999831
-9.919998834511993e-07,-0.03999999999605,250002498.4999831
-9.879999257267995e-07,-0.03999999999605,250002498.4999831
-9.839998771023992e-07,-0.03999999999605,250002498.4999831
-9.799999193779996e-07,0.0,250002498.4999831
-9.759998706535992e-07,0.0,250002498.4999831
-9.719999130291995e-07,0.0,250002498.4999831
-9.679998643047991e-07,-0.03999999999605,250002498.4999831
-9.639999065803993e-07,0.0,250002498.4999831
-9.599998579559992e-07,0.0,250002498.4999831
-9.559999002315992e-07,0.0,250002498.4999831
-9.51999851507199e-07,0.0,250002498.4999831
-9.479998937827994e-07,-0.03999999999605,250002498.4999831
-9.43999845158399e-07,0.0,250002498.4999831
-9.399998874339992e-07,0.0,250002498.4999831
-9.359998387095991e-07,0.0,250002498.4999831
-9.319998809851992e-07,0.0,250002498.4999831
-9.279999232607995e-07,0.0,250002498.4999831
-9.239998746363993e-07,0.0,250002498.4999831
-9.199999169119994e-07,0.0,250002498.4999831
-9.159998681875991e-07,-0.03999999999605,250002498.4999831
-9.119999104631994e-07,0.0,250002498.4999831
-9.079998618387992e-07,0.0,250002498.4999831
-9.039999041143993e-07,0.0,250002498.4999831
-8.999998553899991e-07,0.0,250002498.4999831
-8.959998976655994e-07,-0.03999999999605,250002498.4999831
-8.91999849041199e-07,0.0,250002498.4999831
-8.879998913167994e-07,0.0,250002498.4999831
-8.83999842592399e-07,0.0,250002498.4999831
-8.799998848679992e-07,-0.03999999999605,250002498.4999831
-8.759999271435995e-07,0.0,250002498.4999831
-8.719998785191993e-07,0.0,250002498.4999831
-8.679999207947994e-07,0.0,250002498.4999831
-8.639998721703992e-07,0.0,250002498.4999831
-8.599999144459995e-07,0.0,250002498.4999831
-8.559998657215992e-07,0.0,250002498.4999831
-8.519999079971993e-07,0.0,250002498.4999831
-8.479998593727991e-07,0.03999999999605,250002498.4999831
-8.439999016483994e-07,0.19999999700000004,250002498.4999831
-8.39999852923999e-07,0.24000000589999992,250002498.4999831
-8.359998951995994e-07,0.36000000909999985,250002498.4999831
-8.319998465751991e-07,0.3999999940000001,250002498.4999831
-8.279998888507992e-07,0.5599999816000003,250002498.4999831
-8.239998401263989e-07,0.5999999910000001,250002498.4999831
-8.199998824019993e-07,0.6800000097999999,250002498.4999831
-8.159999246775994e-07,0.7599999786000003,250002498.4999831
-8.119998760531992e-07,0.8800000067999999,250002498.4999831
-8.079999183287995e-07,0.9999999850000002,250002498.4999831
-8.039998696043992e-07,1.0400000413999992,250002498.4999831
-7.999999118799995e-07,1.1199999642000005,250002498.4999831
-7.959998632555992e-07,1.1999999820000002,250002498.4999831
-7.919999055311994e-07,1.3199999612000006,250002498.4999831
-7.879998568067991e-07,1.3600000175999998,250002498.4999831
-7.839998990823995e-07,1.3999999790000004,250002498.4999831
-7.799998504579991e-07,1.4799999968000002,250002498.4999831
-7.759998927335992e-07,1.5600000146,250002498.4999831
-7.719998440091989e-07,1.639999937400001,250002498.4999831
-7.679998862847993e-07,1.6800000892999987,250002498.4999831
-7.63999837660399e-07,1.6800000892999987,250002498.4999831
-7.599998799359993e-07,1.720000050699999,250002498.4999831
-7.559998767115993e-07,1.7999999730000005,250002498.4999831
-7.519998735871993e-07,1.7999999730000005,250002498.4999831
-7.479998703627993e-07,1.8800000862999986,250002498.4999831
-7.439998671383992e-07,1.8800000862999986,250002498.4999831
-7.399998639139992e-07,1.8800000862999986,250002498.4999831
-7.359998604895991e-07,1.9200000476999992,250002498.4999831
-7.319999034651994e-07,1.9200000476999992,250002498.4999831
-7.279998994407995e-07,1.9600000086,250002498.4999831
-7.239998964163993e-07,1.9600000086,250002498.4999831
-7.199998933919992e-07,1.9600000086,250002498.4999831
-7.159998903675993e-07,1.9999999700000004,250002498.4999831
-7.119998873431993e-07,1.9999999700000004,250002498.4999831
-7.079998843187992e-07,1.9999999700000004,250002498.4999831
-7.039998802943993e-07,1.9999999700000004,250002498.4999831
-6.999998772699992e-07,1.9999999700000004,250002498.4999831
-6.959998742455993e-07,1.9999999700000004,250002498.4999831
-6.919998712211992e-07,2.039999931400001,250002498.4999831
-6.879998681967992e-07,1.9999999700000004,250002498.4999831
-6.839998641723991e-07,1.9999999700000004,250002498.4999831
-6.799998611479991e-07,1.9600000086,250002498.4999831
-6.759999041235994e-07,1.9600000086,250002498.4999831
-6.719999000991994e-07,1.9600000086,250002498.4999831
-6.679998970747993e-07,1.9600000086,250002498.4999831
-6.639998940503994e-07,1.9600000086,250002498.4999831
-6.599998910259993e-07,1.9200000476999992,250002498.4999831
-6.559998880015993e-07,1.9200000476999992,250002498.4999831
-6.519998849771993e-07,1.8800000862999986,250002498.4999831
-6.479998809527993e-07,1.8800000862999986,250002498.4999831
-6.439998779283992e-07,1.8800000862999986,250002498.4999831
-6.399998749039993e-07,1.7999999730000005,250002498.4999831
-6.359998718795992e-07,1.7999999730000005,250002498.4999831
-6.319998688551992e-07,1.7600000115999999,250002498.4999831
-6.279998658307991e-07,1.720000050699999,250002498.4999831
-6.239998618063991e-07,1.720000050699999,250002498.4999831
-6.199999047819994e-07,1.6800000892999987,250002498.4999831
-6.159999007575994e-07,1.5999999760000003,250002498.4999831
-6.119998977331993e-07,1.5600000146,250002498.4999831
-6.079998947087994e-07,1.5199999582000006,250002498.4999831
-6.039998916843993e-07,1.4799999968000002,250002498.4999831
-5.999998886599993e-07,1.4400000353999993,250002498.4999831
-5.959998856355993e-07,1.3600000175999998,250002498.4999831
-5.919998816111993e-07,1.3199999612000006,250002498.4999831
-5.879998785867992e-07,1.2799999998,250002498.4999831
-5.839998755623992e-07,1.2400000383999994,250002498.4999831
-5.799998725379991e-07,1.1999999820000002,250002498.4999831
-5.759998695135992e-07,1.1600000205999998,250002498.4999831
-5.719998664891991e-07,1.0800000028,250002498.4999831
-5.679998624647992e-07,1.0400000413999992,250002498.4999831
-5.639999054403993e-07,0.9999999850000002,250002498.4999831
-5.599999024159994e-07,0.9199999662000006,250002498.4999831
-5.559998983915993e-07,0.8800000067999999,250002498.4999831
-5.519998953671994e-07,0.7999999880000002,250002498.4999831
-5.479998923427993e-07,0.7599999786000003,250002498.4999831
-5.439998893183993e-07,0.7200000191999997,250002498.4999831
-5.399998862939993e-07,0.6400000003999999,250002498.4999831
-5.359998832695993e-07,0.5999999910000001,250002498.4999831
-5.319998792451992e-07,0.5200000221999996,250002498.4999831
-5.279998762207992e-07,0.4800000118499998,250002498.4999831
-5.239998731963991e-07,0.3999999940000001,250002498.4999831
-5.199998701719992e-07,0.36000000909999985,250002498.4999831
-5.159998671475992e-07,0.27999999080000015,250002498.4999831
-5.119998631231992e-07,0.24000000589999992,250002498.4999831
-5.079998600987992e-07,0.16000000009999998,250002498.4999831
-5.039999030743994e-07,0.07999999880000003,250002498.4999831
-4.999998990499993e-07,0.03999999999605,250002498.4999831
-4.959998960255994e-07,-0.03999999999605,250002498.4999831
-4.919998930011993e-07,-0.07999999880000003,250002498.4999831
-4.879998899767993e-07,-0.12000000319999996,250002498.4999831
-4.839998869523993e-07,-0.24000000589999992,250002498.4999831
-4.799998839279993e-07,-0.27999999080000015,250002498.4999831
-4.7599987990359925e-07,-0.32000000019999997,250002498.4999831
-4.719998768791992e-07,-0.3999999940000001,250002498.4999831
-4.679998738547992e-07,-0.4800000118499998,250002498.4999831
-4.639998708303992e-07,-0.5200000221999996,250002498.4999831
-4.5999986780599916e-07,-0.5999999910000001,250002498.4999831
-4.5599986478159917e-07,-0.6400000003999999,250002498.4999831
-4.5199986075719917e-07,-0.7200000191999997,250002498.4999831
-4.479999037327994e-07,-0.7599999786000003,250002498.4999831
-4.439998997083994e-07,-0.8400000423999994,250002498.4999831
-4.399998966839994e-07,-0.8800000067999999,250002498.4999831
-4.3599989365959935e-07,-0.9600000255999996,250002498.4999831
-4.3199989063519935e-07,-0.9999999850000002,250002498.4999831
-4.2799988761079936e-07,-1.0400000413999992,250002498.4999831
-4.2399988458639926e-07,-1.1199999642000005,250002498.4999831
-4.1999988056199926e-07,-1.1600000205999998,250002498.4999831
-4.159998775375992e-07,-1.1999999820000002,250002498.4999831
-4.119998745131992e-07,-1.2799999998,250002498.4999831
-4.079998714887992e-07,-1.3199999612000006,250002498.4999831
-4.0399986846439917e-07,-1.3600000175999998,250002498.4999831
-3.999998654399992e-07,-1.4400000353999993,250002498.4999831
-3.959998614155992e-07,-1.4799999968000002,250002498.4999831
-3.919999043911994e-07,-1.5199999582000006,250002498.4999831
-3.879999013667994e-07,-1.5600000146,250002498.4999831
-3.839998973423994e-07,-1.639999937400001,250002498.4999831
-3.799998713179992e-07,-1.6800000892999987,250002498.4999831
-3.759998912935993e-07,-1.720000050699999,250002498.4999831
-3.719998882691993e-07,-1.7600000115999999,250002498.4999831
-3.679998852447993e-07,-1.7999999730000005,250002498.4999831
-3.6399988122039927e-07,-1.8399999344000009,250002498.4999831
-3.5999987819599927e-07,-1.8800000862999986,250002498.4999831
-3.559998751715992e-07,-1.9200000476999992,250002498.4999831
